dev_eui,building_uuid
24e124408f071503,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f076369,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e509739,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124538e384150,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e509942,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f071594,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124538e301731,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124538e381904,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124707e021124,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f077271,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124723e509939,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124716f015328,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124716f015468,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124538e384425,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124707e422802,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124408f073848,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
24e124141f036380,eaa1cd12-de6a-423f-b9bd-97e8e2f1be02
